genotype_id,family,stage,site,season,rep,fruit_weight_g,brix_content,skin_color_score,flesh_firmness_kg,disease_resistance,tree_vigor,yield_kg,fruit_length_mm,fruit_width_mm,shelf_life_days,shape_index
MNG-2020-0006,Cross_15,Phase_2,Hoedspruit_A,2023-2024,3,333.0,15.87,6.0,2.17,4.0,5.0,67.86,118.96,81.95,14.92,1.45
MNG-2019-0035,Cross_14,Seedling,Hoedspruit_A,2023-2024,1,336.72,17.87,7.0,4.41,4.0,5.0,41.26,113.61,82.27,11.93,1.38
MNG-2019-0035,Cross_14,Seedling,Hoedspruit_A,2023-2024,2,381.78,17.56,5.0,4.76,6.0,6.0,66.93,105.95,87.64,13.76,1.21
MNG-2018-0013,Cross_15,Phase_1,Hoedspruit_A,2023-2024,1,302.55,13.07,4.0,1.16,4.0,8.0,47.01,111.29,91.81,16.18,1.21
MNG-2018-0013,Cross_15,Phase_1,Hoedspruit_A,2023-2024,2,269.53,12.84,4.0,0.67,4.0,7.0,71.16,106.79,82.28,18.51,1.3
MNG-2018-0030,Cross_09,Phase_1,Hoedspruit_A,2023-2024,1,322.13,14.11,3.0,2.57,5.0,5.0,84.26,135.96,69.77,11.69,1.95
MNG-2018-0030,Cross_09,Phase_1,Hoedspruit_A,2023-2024,2,358.79,,2.0,1.98,4.0,5.0,83.25,147.08,62.01,11.24,2.37
MNG-2020-0007,Cross_02,Phase_1,Hoedspruit_A,2023-2024,1,376.67,16.92,7.0,4.96,6.0,4.0,84.43,96.57,85.28,16.63,1.13
MNG-2020-0007,Cross_02,Phase_1,Hoedspruit_A,2023-2024,2,375.04,17.54,6.0,5.59,3.0,6.0,90.3,112.62,80.09,17.59,1.41
MNG-2020-0007,Cross_02,Phase_1,Hoedspruit_A,2023-2024,3,402.5,15.68,6.0,4.83,5.0,6.0,90.22,112.54,74.83,16.97,1.5
MNG-2020-0016,Cross_06,Seedling,Hoedspruit_A,2023-2024,1,359.18,18.73,6.0,3.69,7.0,6.0,88.71,110.19,68.42,9.48,1.61
MNG-2020-0016,Cross_06,Seedling,Hoedspruit_A,2023-2024,2,346.97,18.0,7.0,3.99,6.0,5.0,85.05,117.18,75.04,8.88,1.56
MNG-2022-0031,Cross_14,Advanced,Hoedspruit_A,2023-2024,1,375.73,18.06,6.0,2.76,4.0,6.0,68.63,82.07,73.75,14.23,1.11
MNG-2022-0038,Cross_03,Advanced,Hoedspruit_A,2023-2024,1,382.11,14.41,4.0,2.98,6.0,6.0,78.9,119.24,80.75,14.46,1.48
MNG-2022-0038,Cross_03,Advanced,Hoedspruit_A,2023-2024,2,370.96,15.59,2.0,3.05,5.0,5.0,83.39,119.0,80.13,17.24,1.49
MNG-2021-0031,Cross_18,Phase_2,Hoedspruit_A,2023-2024,1,322.76,17.23,4.0,4.75,6.0,5.0,32.13,106.34,74.73,12.62,1.42
MNG-2021-0031,Cross_18,Phase_2,Hoedspruit_A,2023-2024,2,342.51,17.91,4.0,4.29,6.0,5.0,61.22,100.37,65.48,11.65,1.53
MNG-2021-0031,Cross_18,Phase_2,Hoedspruit_A,2023-2024,3,349.01,18.45,4.0,4.33,4.0,6.0,50.35,96.76,68.79,13.08,1.41
MNG-2019-0030,Cross_10,Elite,Hoedspruit_A,2023-2024,1,267.97,16.21,6.0,2.63,5.0,6.0,74.29,113.91,62.65,15.37,1.82
MNG-2019-0030,Cross_10,Elite,Hoedspruit_A,2023-2024,2,310.93,16.55,6.0,,7.0,6.0,58.26,121.96,66.55,14.01,1.83
MNG-2022-0008,Cross_04,Seedling,Hoedspruit_A,2023-2024,1,372.55,13.84,5.0,3.07,4.0,6.0,74.07,109.91,81.02,12.32,1.36
MNG-2022-0008,Cross_04,Seedling,Hoedspruit_A,2023-2024,2,318.57,14.02,7.0,4.0,4.0,6.0,62.6,118.46,80.36,14.09,1.47
MNG-2020-0019,Cross_13,Seedling,Hoedspruit_A,2023-2024,1,346.53,15.23,7.0,6.47,5.0,7.0,71.62,103.14,75.38,17.99,1.37
MNG-2020-0019,Cross_13,Seedling,Hoedspruit_A,2023-2024,2,341.37,16.71,6.0,6.9,5.0,6.0,72.49,113.79,75.16,16.75,1.51
MNG-2022-0020,Cross_11,Advanced,Hoedspruit_A,2023-2024,1,276.63,13.91,6.0,4.43,3.0,5.0,110.12,121.5,79.77,13.68,1.52
MNG-2022-0020,Cross_11,Advanced,Hoedspruit_A,2023-2024,2,277.72,13.01,5.0,4.47,3.0,5.0,99.08,121.86,79.08,16.42,1.54
MNG-2022-0020,Cross_11,Advanced,Hoedspruit_A,2023-2024,3,269.14,13.86,6.0,4.42,3.0,6.0,86.92,111.56,80.44,13.98,1.39
MNG-2019-0031,Cross_16,Seedling,Hoedspruit_A,2023-2024,1,333.25,12.93,6.0,6.07,7.0,8.0,102.85,112.59,82.54,15.08,1.36
MNG-2019-0031,Cross_16,Seedling,Hoedspruit_A,2023-2024,2,358.48,13.36,7.0,5.49,7.0,6.0,70.04,106.79,83.11,15.9,1.28
MNG-2022-0039,Cross_07,Phase_2,Hoedspruit_A,2023-2024,1,241.33,15.18,6.0,2.35,6.0,5.0,72.45,80.7,70.23,17.83,1.15
MNG-2022-0019,Cross_19,Advanced,Hoedspruit_A,2023-2024,1,382.91,14.67,5.0,1.0,2.0,6.0,71.52,95.39,76.43,14.78,1.25
MNG-2022-0019,Cross_19,Advanced,Hoedspruit_A,2023-2024,2,377.27,14.35,,2.58,2.0,6.0,76.95,88.47,78.86,14.84,1.12
MNG-2022-0019,Cross_19,Advanced,Hoedspruit_A,2023-2024,3,327.59,15.67,4.0,2.11,2.0,6.0,81.88,88.38,83.13,11.87,1.06
MNG-2019-0016,Cross_01,Phase_2,Hoedspruit_A,2023-2024,1,366.22,15.25,7.0,4.32,6.0,6.0,88.22,102.4,98.49,17.78,1.04
MNG-2019-0016,Cross_01,Phase_2,Hoedspruit_A,2023-2024,2,355.1,15.97,7.0,3.72,9.0,5.0,79.05,116.78,97.58,15.17,1.2
MNG-2022-0012,Cross_02,Seedling,Hoedspruit_A,2023-2024,1,341.72,20.15,5.0,2.84,5.0,5.0,51.3,115.74,76.65,11.44,1.51
MNG-2022-0012,Cross_02,Seedling,Hoedspruit_A,2023-2024,2,300.69,19.21,6.0,1.73,5.0,7.0,56.39,124.42,81.32,11.72,1.53
MNG-2019-0040,Cross_14,Phase_2,Hoedspruit_A,2023-2024,1,296.82,18.52,6.0,4.09,5.0,6.0,,100.93,67.3,11.05,1.5
MNG-2019-0040,Cross_14,Phase_2,Hoedspruit_A,2023-2024,2,302.01,18.54,6.0,4.45,4.0,6.0,67.6,97.6,71.34,12.49,1.37
MNG-2019-0040,Cross_14,Phase_2,Hoedspruit_A,2023-2024,3,349.12,19.38,6.0,4.44,5.0,7.0,75.92,88.43,,10.96,
MNG-2020-0035,Cross_11,Phase_2,Hoedspruit_A,2023-2024,1,367.07,16.68,5.0,3.42,5.0,4.0,77.72,107.95,79.41,5.79,1.36
MNG-2020-0035,Cross_11,Phase_2,Hoedspruit_A,2023-2024,2,390.88,18.53,5.0,2.43,5.0,5.0,68.19,107.58,77.08,8.8,1.4
MNG-2020-0035,Cross_11,Phase_2,Hoedspruit_A,2023-2024,3,382.03,17.31,6.0,3.21,3.0,4.0,76.55,107.61,79.83,7.98,1.35
MNG-2022-0004,Cross_09,Seedling,Hoedspruit_A,2023-2024,1,384.31,12.03,5.0,5.03,3.0,7.0,80.86,95.44,73.18,13.51,1.3
MNG-2022-0004,Cross_09,Seedling,Hoedspruit_A,2023-2024,2,297.39,14.48,3.0,5.07,2.0,7.0,55.41,109.91,78.61,11.48,1.4
MNG-2022-0004,Cross_09,Seedling,Hoedspruit_A,2023-2024,3,327.49,13.6,5.0,5.27,2.0,5.0,97.17,97.97,67.86,11.86,1.44
MNG-2022-0033,Cross_13,Advanced,Hoedspruit_A,2023-2024,1,363.78,15.4,5.0,5.43,5.0,7.0,56.77,104.02,80.98,13.3,1.28
MNG-2022-0033,Cross_13,Advanced,Hoedspruit_A,2023-2024,2,336.35,14.25,,6.89,,7.0,49.48,103.1,68.46,11.53,1.51
MNG-2021-0003,Cross_14,Phase_2,Hoedspruit_A,2023-2024,1,430.64,15.71,7.0,4.5,7.0,5.0,48.44,96.7,62.31,14.42,1.55
MNG-2021-0003,Cross_14,Phase_2,Hoedspruit_A,2023-2024,2,370.64,15.19,5.0,5.05,5.0,5.0,37.69,113.33,67.33,16.54,1.68
MNG-2021-0003,Cross_14,Phase_2,Hoedspruit_A,2023-2024,3,397.29,14.72,6.0,5.72,6.0,4.0,47.64,102.39,69.57,14.35,1.47
MNG-2019-0025,Cross_09,Phase_1,Hoedspruit_A,2023-2024,1,368.79,16.15,5.0,5.02,7.0,8.0,73.11,118.06,66.39,12.81,1.78
MNG-2019-0025,Cross_09,Phase_1,Hoedspruit_A,2023-2024,2,314.54,16.81,5.0,5.01,6.0,7.0,81.91,126.23,63.75,12.32,1.98
MNG-2019-0025,Cross_09,Phase_1,Hoedspruit_A,2023-2024,3,346.73,16.6,6.0,5.64,7.0,7.0,78.88,116.17,64.57,14.75,1.8
MNG-2018-0005,Cross_09,Phase_2,Hoedspruit_A,2023-2024,1,289.11,14.45,7.0,7.4,5.0,5.0,95.04,91.53,73.35,10.99,1.25
MNG-2018-0005,Cross_09,Phase_2,Hoedspruit_A,2023-2024,2,285.5,15.89,7.0,4.09,5.0,5.0,80.04,91.13,71.75,12.04,1.27
MNG-2018-0005,Cross_09,Phase_2,Hoedspruit_A,2023-2024,3,299.03,13.76,7.0,5.19,5.0,5.0,86.13,93.96,83.08,,1.13
MNG-2022-0027,Cross_04,Seedling,Hoedspruit_A,2023-2024,1,372.05,13.61,6.0,4.79,4.0,5.0,82.46,112.94,77.61,12.91,1.46
MNG-2022-0027,Cross_04,Seedling,Hoedspruit_A,2023-2024,2,332.88,15.88,6.0,4.82,5.0,4.0,81.78,101.6,82.75,11.32,1.23
MNG-2022-0027,Cross_04,Seedling,Hoedspruit_A,2023-2024,3,312.98,16.03,,5.3,4.0,4.0,78.3,114.71,,10.41,
MNG-2021-0004,Cross_10,Elite,Hoedspruit_A,2023-2024,1,332.4,11.23,4.0,0.41,4.0,5.0,87.77,106.2,84.05,13.52,1.26
MNG-2021-0004,Cross_10,Elite,Hoedspruit_A,2023-2024,2,323.98,10.02,4.0,0.56,5.0,5.0,56.84,129.42,95.69,12.53,1.35
MNG-2018-0027,Cross_09,Phase_1,Hoedspruit_A,2023-2024,1,363.17,17.75,6.0,3.93,6.0,8.0,76.64,120.22,71.86,12.02,1.67
MNG-2018-0027,Cross_09,Phase_1,Hoedspruit_A,2023-2024,2,394.77,16.88,6.0,3.67,4.0,6.0,69.17,112.91,80.85,14.01,1.4
MNG-2018-0027,Cross_09,Phase_1,Hoedspruit_A,2023-2024,3,363.93,16.96,5.0,6.01,7.0,7.0,83.11,101.46,77.61,11.69,1.31
MNG-2018-0036,Cross_02,Seedling,Hoedspruit_A,2023-2024,1,,17.3,5.0,5.67,8.0,5.0,63.3,104.4,78.58,9.97,1.33
MNG-2018-0036,Cross_02,Seedling,Hoedspruit_A,2023-2024,2,384.85,15.38,3.0,4.84,8.0,6.0,68.64,104.2,86.7,12.99,1.2
MNG-2019-0010,Cross_16,Seedling,Hoedspruit_A,2023-2024,1,352.91,11.36,4.0,4.17,7.0,6.0,79.25,115.19,75.53,15.48,1.53
MNG-2019-0010,Cross_16,Seedling,Hoedspruit_A,2023-2024,2,345.98,12.03,5.0,3.88,8.0,6.0,72.84,116.62,84.68,13.05,1.38
MNG-2019-0010,Cross_16,Seedling,Hoedspruit_A,2023-2024,3,352.95,13.19,6.0,5.19,7.0,6.0,65.08,105.71,70.51,,1.5
MNG-2019-0037,Cross_07,Phase_1,Hoedspruit_A,2023-2024,1,355.45,16.54,4.0,3.13,4.0,7.0,61.53,131.75,76.96,14.41,1.71
MNG-2019-0037,Cross_07,Phase_1,Hoedspruit_A,2023-2024,3,314.94,17.09,5.0,4.61,7.0,7.0,56.22,116.18,74.85,17.77,1.55
MNG-2020-0004,Cross_17,Phase_1,Hoedspruit_A,2023-2024,1,349.01,13.22,4.0,4.82,5.0,6.0,74.44,102.95,98.03,13.14,1.05
MNG-2020-0004,Cross_17,Phase_1,Hoedspruit_A,2023-2024,2,350.44,13.09,6.0,5.17,5.0,5.0,82.03,105.2,100.58,14.3,1.05
MNG-2020-0004,Cross_17,Phase_1,Hoedspruit_A,2023-2024,3,331.52,13.16,6.0,3.63,5.0,4.0,63.55,117.78,88.89,13.8,1.33
MNG-2018-0028,Cross_17,Seedling,Hoedspruit_A,2023-2024,1,274.0,13.23,6.0,4.15,4.0,4.0,104.88,124.71,77.62,12.44,1.61
MNG-2018-0028,Cross_17,Seedling,Hoedspruit_A,2023-2024,2,297.53,13.94,5.0,4.13,6.0,5.0,86.79,122.03,76.32,10.4,1.6
MNG-2018-0028,Cross_17,Seedling,Hoedspruit_A,2023-2024,3,261.62,13.55,6.0,4.04,4.0,5.0,95.13,112.66,73.15,12.22,1.54
MNG-2018-0011,Cross_11,Phase_1,Hoedspruit_A,2023-2024,1,384.92,13.17,3.0,4.61,4.0,6.0,88.77,104.4,81.21,16.03,1.29
MNG-2018-0011,Cross_11,Phase_1,Hoedspruit_A,2023-2024,2,363.46,14.0,5.0,4.65,5.0,5.0,97.88,120.44,81.9,17.25,1.47
MNG-2018-0011,Cross_11,Phase_1,Hoedspruit_A,2023-2024,3,376.5,12.73,3.0,4.34,6.0,5.0,104.2,122.21,79.54,12.48,1.54
MNG-2019-0022,Cross_15,Advanced,Hoedspruit_A,2023-2024,1,354.41,12.24,6.0,4.27,6.0,7.0,70.2,124.43,76.51,10.86,1.63
MNG-2019-0022,Cross_15,Advanced,Hoedspruit_A,2023-2024,2,398.53,13.88,6.0,3.78,6.0,7.0,62.86,123.87,71.59,9.6,1.73
MNG-2019-0022,Cross_15,Advanced,Hoedspruit_A,2023-2024,3,377.09,12.07,,4.99,6.0,7.0,58.46,123.66,83.77,11.55,1.48
MNG-2022-0010,Cross_01,Seedling,Hoedspruit_A,2023-2024,1,400.84,14.66,6.0,3.62,5.0,5.0,47.67,110.4,79.18,11.85,1.39
MNG-2022-0010,Cross_01,Seedling,Hoedspruit_A,2023-2024,2,405.23,16.22,5.0,3.81,5.0,,70.5,110.37,77.72,12.08,1.42
MNG-2019-0013,Cross_08,Seedling,Hoedspruit_A,2023-2024,1,307.53,15.4,5.0,3.44,5.0,4.0,65.91,107.85,74.78,15.4,1.44
MNG-2019-0013,Cross_08,Seedling,Hoedspruit_A,2023-2024,2,322.01,17.3,4.0,3.41,4.0,4.0,70.99,110.73,76.44,13.38,1.45
MNG-2021-0015,Cross_16,Advanced,Hoedspruit_A,2023-2024,1,387.82,17.67,4.0,3.62,4.0,6.0,87.35,113.63,70.87,17.54,1.6
MNG-2021-0015,Cross_16,Advanced,Hoedspruit_A,2023-2024,2,,16.42,5.0,2.72,4.0,5.0,77.74,118.32,59.12,14.71,2.0
MNG-2021-0015,Cross_16,Advanced,Hoedspruit_A,2023-2024,3,,17.57,3.0,2.36,4.0,4.0,68.82,119.9,63.36,16.52,1.89
MNG-2021-0024,Cross_09,Phase_1,Hoedspruit_A,2023-2024,1,388.22,13.95,7.0,3.71,4.0,6.0,101.46,109.72,68.34,12.5,1.61
MNG-2021-0024,Cross_09,Phase_1,Hoedspruit_A,2023-2024,2,396.18,10.86,6.0,2.59,4.0,6.0,101.81,122.06,74.82,13.54,1.63
MNG-2022-0026,Cross_09,Phase_1,Hoedspruit_A,2023-2024,1,319.67,17.54,6.0,3.59,9.0,6.0,72.35,100.38,65.19,,1.54
MNG-2022-0026,Cross_09,Phase_1,Hoedspruit_A,2023-2024,2,373.22,17.18,4.0,3.39,7.0,6.0,67.96,97.48,77.61,14.85,1.26
MNG-2022-0026,Cross_09,Phase_1,Hoedspruit_A,2023-2024,3,376.19,,6.0,3.75,8.0,6.0,59.16,105.21,64.93,15.65,1.62
MNG-2018-0025,Cross_16,Seedling,Hoedspruit_A,2023-2024,1,381.22,19.33,5.0,3.04,6.0,6.0,63.62,122.78,74.53,19.29,1.65
MNG-2018-0025,Cross_16,Seedling,Hoedspruit_A,2023-2024,2,362.06,16.36,6.0,2.42,6.0,6.0,59.76,103.67,79.29,15.13,1.31
MNG-2019-0018,Cross_04,Phase_2,Hoedspruit_A,2023-2024,1,305.81,16.08,5.0,2.61,6.0,5.0,74.08,114.55,69.12,13.32,1.66
MNG-2019-0018,Cross_04,Phase_2,Hoedspruit_A,2023-2024,2,255.06,15.83,4.0,2.21,6.0,5.0,65.91,126.87,66.12,13.44,1.92
MNG-2019-0018,Cross_04,Phase_2,Hoedspruit_A,2023-2024,3,272.7,17.08,4.0,4.07,5.0,4.0,61.73,116.24,62.26,13.02,1.87
MNG-2018-0040,Cross_13,Seedling,Hoedspruit_A,2023-2024,1,336.27,13.95,7.0,5.14,7.0,6.0,60.49,106.08,75.41,16.89,1.41
MNG-2018-0040,Cross_13,Seedling,Hoedspruit_A,2023-2024,2,,16.37,7.0,5.26,6.0,5.0,76.19,100.64,84.08,,1.2
MNG-2018-0040,Cross_13,Seedling,Hoedspruit_A,2023-2024,3,338.25,14.17,7.0,4.14,7.0,4.0,73.74,97.0,84.95,14.58,1.14
MNG-2020-0027,Cross_16,Seedling,Hoedspruit_A,2023-2024,1,364.66,14.96,6.0,4.4,4.0,6.0,120.18,114.09,72.14,14.57,1.58
MNG-2020-0027,Cross_16,Seedling,Hoedspruit_A,2023-2024,2,359.52,15.58,6.0,4.11,3.0,5.0,117.0,105.72,73.88,15.04,1.43
MNG-2020-0027,Cross_16,Seedling,Hoedspruit_A,2023-2024,3,407.9,15.92,5.0,5.1,3.0,6.0,107.99,118.87,75.63,10.19,1.57
MNG-2021-0016,Cross_07,Advanced,Hoedspruit_A,2023-2024,1,352.45,13.95,4.0,4.6,3.0,7.0,35.44,112.88,75.47,16.4,1.5
MNG-2021-0016,Cross_07,Advanced,Hoedspruit_A,2023-2024,2,317.68,16.39,4.0,4.51,2.0,6.0,34.59,105.03,63.62,16.27,1.65
MNG-2021-0016,Cross_07,Advanced,Hoedspruit_A,2023-2024,3,341.14,14.33,4.0,,2.0,5.0,58.65,111.88,81.36,16.29,1.38
MNG-2020-0026,Cross_16,Seedling,Hoedspruit_A,2023-2024,2,483.02,15.54,5.0,6.91,7.0,4.0,47.13,126.64,80.35,16.19,1.58
MNG-2021-0035,Cross_09,Seedling,Hoedspruit_A,2023-2024,1,297.23,15.06,6.0,4.08,3.0,5.0,93.71,107.21,74.33,13.45,1.44
MNG-2021-0035,Cross_09,Seedling,Hoedspruit_A,2023-2024,2,335.18,16.0,7.0,3.71,4.0,6.0,73.85,106.38,86.01,12.08,1.24
MNG-2018-0020,Cross_10,Phase_2,Hoedspruit_A,2023-2024,1,362.83,20.8,5.0,5.48,5.0,6.0,75.04,,74.24,20.44,
MNG-2018-0020,Cross_10,Phase_2,Hoedspruit_A,2023-2024,2,327.69,19.64,5.0,6.32,5.0,7.0,72.45,105.96,70.9,14.56,1.49
MNG-2018-0020,Cross_10,Phase_2,Hoedspruit_A,2023-2024,3,324.41,22.12,6.0,5.31,4.0,5.0,93.51,90.61,74.17,17.07,1.22
MNG-2022-0017,Cross_15,Phase_1,Hoedspruit_A,2023-2024,1,318.97,13.91,6.0,2.28,6.0,8.0,91.16,113.26,76.78,11.19,1.48
MNG-2022-0017,Cross_15,Phase_1,Hoedspruit_A,2023-2024,2,352.75,13.75,6.0,1.33,6.0,8.0,72.24,109.22,73.77,7.17,1.48
MNG-2018-0007,Cross_02,Phase_1,Hoedspruit_A,2023-2024,1,259.81,18.72,6.0,5.41,5.0,7.0,82.88,114.29,76.64,12.96,1.49
MNG-2018-0007,Cross_02,Phase_1,Hoedspruit_A,2023-2024,2,336.2,16.22,6.0,4.44,3.0,6.0,103.79,111.01,80.33,12.27,1.38
MNG-2018-0007,Cross_02,Phase_1,Hoedspruit_A,2023-2024,3,297.94,17.07,6.0,5.94,3.0,6.0,83.28,103.73,71.72,16.31,1.45
MNG-2018-0019,Cross_17,Phase_1,Hoedspruit_A,2023-2024,1,403.16,13.37,6.0,2.97,4.0,5.0,95.88,105.19,83.81,10.83,1.26
MNG-2018-0019,Cross_17,Phase_1,Hoedspruit_A,2023-2024,2,372.0,13.55,5.0,4.34,4.0,7.0,82.18,107.9,84.59,13.04,1.28
MNG-2022-0009,Cross_07,Seedling,Hoedspruit_A,2023-2024,1,325.14,17.53,6.0,3.49,6.0,7.0,76.77,110.35,61.84,16.02,1.78
MNG-2022-0009,Cross_07,Seedling,Hoedspruit_A,2023-2024,2,305.67,17.32,5.0,3.31,5.0,6.0,61.44,114.95,62.82,13.77,1.83
MNG-2022-0009,Cross_07,Seedling,Hoedspruit_A,2023-2024,3,322.12,16.75,5.0,3.71,5.0,7.0,44.16,120.99,61.37,,1.97
MNG-2021-0014,Cross_12,Phase_1,Hoedspruit_A,2023-2024,1,358.08,13.17,7.0,3.93,7.0,6.0,77.52,123.5,59.01,15.89,2.09
MNG-2021-0014,Cross_12,Phase_1,Hoedspruit_A,2023-2024,2,353.4,13.93,5.0,4.91,6.0,7.0,72.15,108.97,60.4,16.4,1.8
MNG-2021-0014,Cross_12,Phase_1,Hoedspruit_A,2023-2024,3,329.92,14.18,6.0,4.5,6.0,6.0,69.08,124.74,58.87,19.85,2.12
MNG-2019-0020,Cross_14,Phase_2,Hoedspruit_A,2023-2024,1,356.62,,6.0,5.06,3.0,4.0,62.36,123.3,88.74,13.53,1.39
MNG-2020-0031,Cross_06,Phase_2,Hoedspruit_A,2023-2024,1,338.04,14.9,5.0,5.91,4.0,6.0,39.86,137.07,80.59,13.25,1.7
MNG-2020-0031,Cross_06,Phase_2,Hoedspruit_A,2023-2024,2,359.68,13.48,5.0,6.86,4.0,6.0,30.92,119.37,82.28,11.72,1.45
MNG-2020-0031,Cross_06,Phase_2,Hoedspruit_A,2023-2024,3,357.9,13.68,4.0,6.37,5.0,6.0,35.91,137.04,,12.94,
MNG-2018-0033,Cross_02,Phase_1,Hoedspruit_A,2023-2024,1,294.77,17.93,4.0,5.48,2.0,5.0,69.5,94.48,83.23,18.0,1.14
MNG-2018-0033,Cross_02,Phase_1,Hoedspruit_A,2023-2024,2,286.37,16.64,5.0,4.8,3.0,6.0,60.03,101.87,84.18,17.63,1.21
MNG-2020-0014,Cross_08,Advanced,Hoedspruit_A,2023-2024,1,300.24,16.88,6.0,5.55,6.0,6.0,58.29,112.04,87.19,14.97,1.29
MNG-2020-0014,Cross_08,Advanced,Hoedspruit_A,2023-2024,2,293.09,16.5,6.0,5.17,7.0,5.0,37.93,117.18,82.35,12.93,1.42
MNG-2020-0038,Cross_03,Seedling,Hoedspruit_A,2023-2024,1,402.06,15.47,7.0,3.1,5.0,6.0,102.05,102.52,69.51,12.18,1.47
MNG-2020-0038,Cross_03,Seedling,Hoedspruit_A,2023-2024,2,408.01,15.37,6.0,3.23,4.0,6.0,101.49,120.76,59.65,11.92,2.02
MNG-2018-0031,Cross_10,Seedling,Hoedspruit_A,2023-2024,1,344.09,17.93,5.0,5.04,7.0,4.0,61.72,99.36,81.5,15.43,1.22
MNG-2018-0031,Cross_10,Seedling,Hoedspruit_A,2023-2024,2,342.18,16.95,4.0,4.59,8.0,4.0,55.23,98.29,80.01,17.09,1.23
MNG-2018-0031,Cross_10,Seedling,Hoedspruit_A,2023-2024,3,345.42,17.05,5.0,3.74,6.0,4.0,48.31,,74.36,14.28,
MNG-2021-0028,Cross_05,Phase_1,Hoedspruit_A,2023-2024,1,312.67,15.78,4.0,4.23,4.0,5.0,34.48,106.2,68.5,20.12,1.55
MNG-2021-0028,Cross_05,Phase_1,Hoedspruit_A,2023-2024,2,332.35,16.61,4.0,3.21,5.0,5.0,55.89,106.35,72.29,13.37,1.47
MNG-2021-0028,Cross_05,Phase_1,Hoedspruit_A,2023-2024,3,319.38,16.06,4.0,2.72,4.0,5.0,52.29,108.15,59.74,15.23,1.81
MNG-2018-0029,Cross_11,Seedling,Hoedspruit_A,2023-2024,1,347.69,14.26,3.0,4.94,4.0,4.0,73.92,94.64,87.8,14.24,1.08
MNG-2018-0029,Cross_11,Seedling,Hoedspruit_A,2023-2024,2,358.21,16.33,5.0,3.89,4.0,4.0,79.72,91.44,93.31,18.15,0.98
MNG-2022-0025,Cross_10,Phase_1,Hoedspruit_A,2023-2024,1,331.97,19.22,6.0,7.18,5.0,6.0,55.68,114.98,86.58,18.4,1.33
MNG-2022-0025,Cross_10,Phase_1,Hoedspruit_A,2023-2024,2,387.96,18.16,6.0,6.41,4.0,5.0,55.52,96.57,73.09,15.21,1.32
MNG-2022-0025,Cross_10,Phase_1,Hoedspruit_A,2023-2024,3,339.92,16.82,5.0,6.19,4.0,5.0,71.69,112.66,73.33,15.31,1.54
MNG-2022-0032,Cross_13,Seedling,Hoedspruit_A,2023-2024,1,345.0,13.74,5.0,3.07,6.0,6.0,95.37,98.33,73.84,16.53,1.33
MNG-2022-0032,Cross_13,Seedling,Hoedspruit_A,2023-2024,2,319.36,13.8,5.0,4.06,4.0,5.0,77.98,119.6,78.43,12.9,1.52
MNG-2022-0032,Cross_13,Seedling,Hoedspruit_A,2023-2024,3,341.53,14.09,5.0,5.15,5.0,7.0,105.04,110.82,86.42,15.77,1.28
MNG-2021-0036,Cross_14,Phase_2,Hoedspruit_A,2023-2024,1,403.86,11.48,5.0,3.78,6.0,5.0,34.17,86.45,82.9,13.9,1.04
MNG-2021-0036,Cross_14,Phase_2,Hoedspruit_A,2023-2024,2,408.33,15.58,5.0,4.37,6.0,5.0,40.59,86.45,77.68,12.95,1.11
MNG-2021-0036,Cross_14,Phase_2,Hoedspruit_A,2023-2024,3,415.35,12.22,5.0,4.86,6.0,4.0,38.56,84.05,81.72,9.66,1.03
MNG-2021-0001,Cross_09,Phase_1,Hoedspruit_A,2023-2024,1,334.71,17.64,5.0,2.82,4.0,6.0,65.19,89.77,87.47,12.12,1.03
MNG-2021-0001,Cross_09,Phase_1,Hoedspruit_A,2023-2024,2,366.75,15.65,5.0,3.35,4.0,4.0,51.93,104.13,77.47,9.82,1.34
MNG-2021-0001,Cross_09,Phase_1,Hoedspruit_A,2023-2024,3,328.63,14.04,4.0,5.08,,5.0,50.48,91.19,83.12,14.08,1.1
MNG-2021-0039,Cross_11,Seedling,Hoedspruit_A,2023-2024,1,325.62,17.75,6.0,3.49,4.0,4.0,64.71,99.89,90.58,19.91,1.1
MNG-2021-0039,Cross_11,Seedling,Hoedspruit_A,2023-2024,2,,16.02,6.0,3.59,4.0,4.0,53.48,94.86,83.69,15.85,1.13
MNG-2021-0039,Cross_11,Seedling,Hoedspruit_A,2023-2024,3,342.67,16.34,6.0,3.72,4.0,4.0,62.42,96.07,80.82,18.88,1.19
MNG-2021-0040,Cross_16,Phase_1,Hoedspruit_A,2023-2024,1,378.21,10.82,7.0,6.23,4.0,5.0,38.6,113.49,74.78,14.13,1.52
MNG-2021-0040,Cross_16,Phase_1,Hoedspruit_A,2023-2024,2,413.29,11.49,7.0,6.19,4.0,6.0,33.97,110.87,69.91,16.19,1.59
MNG-2019-0024,Cross_20,Seedling,Hoedspruit_A,2023-2024,1,406.48,11.56,5.0,3.53,5.0,6.0,79.1,121.36,81.78,14.67,1.48
MNG-2019-0024,Cross_20,Seedling,Hoedspruit_A,2023-2024,2,382.07,10.22,5.0,3.65,7.0,5.0,70.99,138.48,70.62,13.55,1.96
MNG-2019-0024,Cross_20,Seedling,Hoedspruit_A,2023-2024,3,398.4,11.81,5.0,2.39,4.0,4.0,67.82,133.49,76.34,15.78,1.75
